Configuration,SIZE,Posit_FFT,Float_FFT,Posit_IFFT,Float_IFFT,Posit_SIN,Float_SIN,Posit_COS,Float_COS,Type,Label
TERMS_4_N_24_ES_1_SIZE_256_NAPP,256,33.1945,61.7012,16.4548,17.1588,74.2607,139.916,116.159,139.083,NAPP,"T:4 (24,1)"
TERMS_4_N_24_ES_1_SIZE_64_APP,64,57.7704,86.6896,19.3703,19.4442,114.668,139.772,112.8,138.623,APP,"T:4 (24,1)"
TERMS_4_N_24_ES_1_SIZE_64_NAPP,64,58.3877,87.3886,28.7197,28.8684,73.3476,139.498,113.385,139.573,NAPP,"T:4 (24,1)"
TERMS_4_N_24_ES_2_SIZE_128_APP,128,37.5833,59.6294,16.9906,17.2179,110.59,139.874,108.784,138.778,APP,"T:4 (24,2)"
TERMS_4_N_24_ES_2_SIZE_128_NAPP,128,39.1943,72.7325,22.1127,22.7578,110.748,139.782,109.177,139.592,NAPP,"T:4 (24,2)"
TERMS_4_N_24_ES_2_SIZE_256_APP,256,26.5562,52.2198,13.9461,14.7867,110.325,139.818,108.944,138.577,APP,"T:4 (24,2)"
TERMS_4_N_24_ES_2_SIZE_256_NAPP,256,27.1175,61.7012,15.7913,17.1588,110.427,139.916,109.456,139.083,NAPP,"T:4 (24,2)"
TERMS_4_N_24_ES_2_SIZE_64_APP,64,51.2851,86.6896,19.326,19.4442,110.76,139.772,108.914,138.623,APP,"T:4 (24,2)"
TERMS_4_N_24_ES_2_SIZE_64_NAPP,64,51.9149,87.3886,28.4834,28.8684,110.472,139.498,109.059,139.573,NAPP,"T:4 (24,2)"
TERMS_4_N_28_ES_0_SIZE_128_APP,128,59.7568,59.6294,17.1906,17.2179,147.342,139.874,144.476,138.778,APP,"T:4 (28,0)"
TERMS_4_N_28_ES_0_SIZE_128_NAPP,128,75.0224,72.7325,22.7504,22.7578,70.0186,139.782,145.038,139.592,NAPP,"T:4 (28,0)"
TERMS_4_N_28_ES_0_SIZE_256_APP,256,52.1559,52.2198,14.7377,14.7867,147.177,139.818,144.621,138.577,APP,"T:4 (28,0)"
TERMS_4_N_28_ES_0_SIZE_256_NAPP,256,62.7924,61.7012,17.1394,17.1588,70.2167,139.916,145.23,139.083,NAPP,"T:4 (28,0)"
TERMS_4_N_28_ES_0_SIZE_64_APP,64,85.6668,86.6896,19.3975,19.4442,146.214,139.772,145.416,138.623,APP,"T:4 (28,0)"
TERMS_4_N_28_ES_0_SIZE_64_NAPP,64,86.3007,87.3886,28.8689,28.8684,69.308,139.498,145.994,139.573,NAPP,"T:4 (28,0)"
TERMS_4_N_28_ES_1_SIZE_128_APP,128,59.3749,59.6294,17.1873,17.2179,140.562,139.874,138.513,138.778,APP,"T:4 (28,1)"
TERMS_4_N_28_ES_1_SIZE_128_NAPP,128,69.6174,72.7325,22.7388,22.7578,74.0463,139.782,138.866,139.592,NAPP,"T:4 (28,1)"
TERMS_4_N_28_ES_1_SIZE_256_APP,256,50.4021,52.2198,14.7281,14.7867,140.277,139.818,138.333,138.577,APP,"T:4 (28,1)"
TERMS_4_N_28_ES_1_SIZE_256_NAPP,256,57.5282,61.7012,17.1214,17.1588,74.2446,139.916,138.971,139.083,NAPP,"T:4 (28,1)"
TERMS_4_N_28_ES_1_SIZE_64_APP,64,78.5586,86.6896,19.3965,19.4442,140.353,139.772,138.607,138.623,APP,"T:4 (28,1)"
TERMS_4_N_28_ES_1_SIZE_64_NAPP,64,79.1813,87.3886,28.8611,28.8684,73.3358,139.498,139.0,139.573,NAPP,"T:4 (28,1)"
TERMS_4_N_28_ES_2_SIZE_128_APP,128,50.9187,59.6294,17.1818,17.2179,134.135,139.874,131.771,138.778,APP,"T:4 (28,2)"
TERMS_4_N_28_ES_2_SIZE_128_NAPP,128,64.0317,72.7325,22.7185,22.7578,133.9,139.782,132.453,139.592,NAPP,"T:4 (28,2)"
TERMS_4_N_28_ES_2_SIZE_256_APP,256,47.2107,52.2198,14.7088,14.7867,133.717,139.818,131.708,138.577,APP,"T:4 (28,2)"
TERMS_4_N_28_ES_2_SIZE_256_NAPP,256,51.4317,61.7012,17.0847,17.1588,133.613,139.916,132.355,139.083,NAPP,"T:4 (28,2)"
TERMS_4_N_28_ES_2_SIZE_64_APP,64,73.7994,86.6896,19.3943,19.4442,133.751,139.772,132.663,138.623,APP,"T:4 (28,2)"
TERMS_4_N_28_ES_2_SIZE_64_NAPP,64,74.3971,87.3886,28.8468,28.8684,133.248,139.498,133.311,139.573,NAPP,"T:4 (28,2)"
TERMS_4_N_32_ES_0_SIZE_128_APP,128,99.8332,59.6294,17.194,17.2179,171.19,139.874,169.343,138.778,APP,"T:4 (32,0)"
TERMS_4_N_32_ES_0_SIZE_128_NAPP,128,100.462,72.7325,22.7614,22.7578,70.0182,139.782,169.953,139.592,NAPP,"T:4 (32,0)"
TERMS_4_N_32_ES_0_SIZE_256_APP,256,64.954,52.2198,14.7477,14.7867,171.187,139.818,168.605,138.577,APP,"T:4 (32,0)"
TERMS_4_N_32_ES_0_SIZE_256_NAPP,256,87.0396,61.7012,17.1575,17.1588,70.2164,139.916,169.181,139.083,NAPP,"T:4 (32,0)"
TERMS_4_N_32_ES_0_SIZE_64_APP,64,109.283,86.6896,19.3983,19.4442,171.049,139.772,169.693,138.623,APP,"T:4 (32,0)"
TERMS_4_N_32_ES_0_SIZE_64_NAPP,64,109.862,87.3886,28.8738,28.8684,69.3077,139.498,170.219,139.573,NAPP,"T:4 (32,0)"
TERMS_4_N_32_ES_1_SIZE_128_APP,128,93.7734,59.6294,17.1938,17.2179,166.083,139.874,163.396,138.778,APP,"T:4 (32,1)"
TERMS_4_N_32_ES_1_SIZE_128_NAPP,128,94.4085,72.7325,22.7604,22.7578,74.0456,139.782,163.579,139.592,NAPP,"T:4 (32,1)"
